Date,Time,T,Day,Hour
2004-03-11,00.00.00,11.3,11,0
2004-03-11,01.00.00,10.7,11,1
2004-03-11,02.00.00,10.7,11,2
2004-03-11,03.00.00,10.3,11,3
2004-03-11,04.00.00,10.1,11,4
2004-03-11,05.00.00,11.0,11,5
2004-03-11,06.00.00,10.5,11,6
2004-03-11,07.00.00,10.2,11,7
2004-03-11,08.00.00,10.8,11,8
2004-03-11,09.00.00,10.5,11,9
2004-03-11,10.00.00,10.8,11,10
2004-03-11,11.00.00,10.5,11,11
2004-03-11,12.00.00,9.5,11,12
2004-03-11,13.00.00,8.3,11,13
2004-03-11,14.00.00,8.0,11,14
2004-03-11,15.00.00,8.3,11,15
2004-03-11,16.00.00,9.7,11,16
2004-03-11,17.00.00,9.8,11,17
2004-03-11,18.00.00,10.3,11,18
2004-03-11,19.00.00,9.7,11,19
2004-03-11,20.00.00,9.6,11,20
2004-03-11,21.00.00,9.1,11,21
2004-03-11,22.00.00,8.2,11,22
2004-03-11,23.00.00,8.2,11,23
2004-03-12,00.00.00,8.3,12,0
2004-03-12,01.00.00,7.7,12,1
2004-03-12,02.00.00,7.1,12,2
2004-03-12,03.00.00,7.0,12,3
2004-03-12,04.00.00,6.1,12,4
2004-03-12,05.00.00,6.3,12,5
2004-03-12,06.00.00,6.8,12,6
2004-03-12,07.00.00,6.4,12,7
2004-03-12,08.00.00,7.3,12,8
2004-03-12,09.00.00,9.2,12,9
2004-03-12,10.00.00,13.2,12,10
2004-03-12,11.00.00,14.3,12,11
2004-03-12,12.00.00,15.0,12,12
2004-03-12,13.00.00,16.1,12,13
2004-03-12,14.00.00,16.3,12,14
2004-03-12,15.00.00,15.8,12,15
2004-03-12,16.00.00,15.9,12,16
2004-03-12,17.00.00,16.9,12,17
2004-03-12,18.00.00,15.1,12,18
2004-03-12,19.00.00,14.4,12,19
2004-03-12,20.00.00,12.9,12,20
2004-03-12,21.00.00,12.1,12,21
2004-03-12,22.00.00,11.0,12,22
2004-03-12,23.00.00,9.7,12,23
2004-03-13,00.00.00,9.5,13,0
2004-03-13,01.00.00,9.1,13,1
2004-03-13,02.00.00,8.8,13,2
2004-03-13,03.00.00,7.8,13,3
2004-03-13,04.00.00,7.0,13,4
2004-03-13,05.00.00,8.3,13,5
2004-03-13,06.00.00,7.2,13,6
2004-03-13,07.00.00,6.3,13,7
2004-03-13,08.00.00,6.5,13,8
2004-03-13,09.00.00,9.6,13,9
2004-03-13,10.00.00,12.4,13,10
2004-03-13,11.00.00,15.6,13,11
2004-03-13,12.00.00,18.4,13,12
2004-03-13,13.00.00,19.4,13,13
2004-03-13,14.00.00,18.0,13,14
